Ship Date,Profit
7/31/2012,762.1845
2/7/2013,-288.765
10/18/2013,919.971
1/30/2013,-96.54
11/6/2013,311.52
7/1/2013,763.275
11/9/2011,564.84
4/18/2012,996.48
10/21/2014,1906.485
1/31/2012,-1862.3124
7/31/2012,762.1845
2/7/2013,-288.765
10/18/2013,919.971
1/30/2013,-96.54
11/6/2013,311.52
7/1/2013,763.275
11/9/2011,564.84
4/18/2012,996.48
10/21/2014,1906.485
1/31/2012,-1862.3124
4/9/2011,83.281
4/22/2012,647.55
12/29/2011,1151.4
11/13/2012,622.02
6/8/2013,1036.08
8/3/2014,186.948
11/6/2014,517.4793
9/14/2014,3979.08
2/1/2014,28.404
12/7/2014,818.28
8/10/2012,276.84
10/31/2011,341.994
5/3/2011,358.02
3/1/2013,1898.4
8/1/2014,445.52
9/8/2014,526.496
12/20/2011,720.36
3/17/2011,1364.238
3/12/2013,363.9048
2/25/2012,582.36
12/30/2011,-148.46
7/19/2012,763.155
10/15/2012,-350.49
11/5/2011,561.48
12/14/2011,135.4068
9/15/2011,1068.66
9/14/2011,1371.9804
11/5/2014,-3839.9904
1/18/2014,1697.67
1/11/2011,511.095
8/26/2013,-77.2038
11/15/2014,632.52
9/28/2014,2097.03
12/17/2012,404.73
9/25/2011,377.244
9/28/2011,4630.4755
3/8/2013,720.75
8/29/2014,110.34
5/1/2014,500.01
12/20/2014,868.12
6/19/2012,1143.891
9/21/2014,527.04
7/25/2014,839.986
12/20/2011,153.75
12/18/2013,593.88
5/31/2012,732.72
3/20/2012,1480.4671
5/28/2012,226.86
8/6/2014,1164.267
8/27/2014,327.5922
3/13/2014,581.91
11/8/2012,2229.024
8/16/2014,313.11
9/3/2013,225.18
1/23/2014,656.37
12/4/2013,694.5015
12/8/2014,1050.15
12/19/2014,652.92
11/20/2014,119.28
11/11/2011,130.08
6/9/2013,1055.25
11/23/2011,121.94
3/31/2013,1523.52
8/27/2014,-452.8104
9/22/2012,38.07
5/18/2014,858.9
3/22/2012,3177.475
11/25/2013,728.7
11/11/2011,1183.95
10/28/2011,91.95
11/23/2014,63.546
10/30/2014,2597.28
1/19/2014,2504.2216
8/23/2014,-630.882
2/5/2013,965.85
9/21/2012,-269.7912
11/23/2013,113.28
6/13/2012,1124.901
10/31/2013,1192.86
12/14/2013,0
5/28/2012,498.33
5/7/2013,320.3172
12/2/2013,513.36
12/25/2014,1159.02
1/30/2013,197.19
5/7/2012,738.96
11/29/2013,927.78
12/2/2012,96.39
9/29/2012,-0.054
9/5/2013,34.944
8/1/2013,1465.2
11/25/2014,861.372
6/19/2012,790.416
10/14/2012,178.92
8/11/2011,308.4
11/9/2011,1517.712
11/14/2014,366.6348
4/28/2013,914.76
12/26/2013,747.816
3/13/2013,-2211.165
4/21/2013,2365.9818
4/5/2012,-1783.08
12/28/2012,261.24
4/19/2013,587.19
5/26/2011,367.08
5/26/2012,334.4985
5/20/2013,589.2
12/8/2011,327.9458
2/19/2011,1868.13
6/2/2013,116.4
10/2/2013,258.93
12/21/2011,2239.9872
12/22/2013,4946.37
12/14/2013,-37.83
3/21/2014,-265.761
12/20/2014,312.66
12/21/2011,493.7856
5/28/2013,1119.9968
10/17/2011,260.6112
9/18/2014,508.00876
11/27/2013,572.55
11/10/2013,1025.46
7/23/2014,140.8248
8/16/2012,946.6338
8/30/2013,100.196
1/15/2012,156.402
1/30/2013,785.82
6/17/2012,-286.92
12/3/2011,673.8816
6/27/2013,503.64
12/8/2012,988.12
9/7/2013,534.24
9/20/2014,268.38
9/13/2014,256.784
8/8/2012,210.8568
12/11/2014,747.612
10/28/2012,174.15
7/15/2012,321.84
8/29/2013,-214.725
5/17/2011,523.08
11/6/2011,-1784.895
8/3/2014,296.658
9/22/2011,36
1/11/2014,679.996
3/15/2013,160.605
2/5/2012,848.4
9/11/2013,-317.1528
4/13/2014,38.948
3/6/2013,2400.9657
3/21/2014,887.6
10/4/2013,1080.18
1/15/2013,1444.59
8/25/2014,1146.24
12/20/2011,311.85
3/18/2014,674.163
3/26/2013,244.6155
7/13/2014,125.1216
6/15/2013,-128.7198
8/17/2011,1758.888
3/21/2014,-0.024
1/3/2013,-36.39
12/3/2013,-6599.978
10/11/2012,-0.024
10/25/2014,647.892
6/19/2011,-740.295
4/5/2014,127.134
5/20/2011,488.6
2/15/2014,744.48
10/12/2013,139.32
9/24/2011,-944.9946
7/19/2014,629.28
11/28/2014,664.719
6/2/2011,-754.4145
4/3/2014,1439.976
7/20/2014,1440.24
9/3/2014,745.875
12/26/2012,204.282
11/15/2014,1267.77
5/4/2013,-140.715
8/21/2011,1424.85
12/7/2014,1069.2
6/29/2013,591.045
1/24/2013,2071.44
10/27/2013,1644.2913
7/14/2014,539.4432
12/29/2013,257.5944
9/1/2014,134.304
11/22/2011,792.2691
6/11/2011,1644.03
10/13/2011,-11.934
6/10/2013,0
12/17/2014,162.12
10/17/2014,129.294
6/11/2014,-84.3705
2/16/2011,779.52
12/4/2013,1470.21
6/22/2014,1668.205
9/22/2013,481.869
8/9/2011,-332.28
6/21/2011,352.3065
8/4/2012,0
6/19/2012,760.305
7/16/2012,-219.1644
8/2/2013,570.9
5/25/2014,802.17
2/15/2011,2939.31
9/27/2013,119.97
6/4/2014,328.23
10/3/2013,484.224
7/20/2011,664.44
8/16/2014,594.72
7/28/2013,191.9968
11/3/2014,977.22
7/30/2013,833.76
10/11/2014,361.44
10/21/2014,830.55
12/6/2013,378.876
11/10/2014,325.701
6/10/2013,593.91
9/23/2011,498.807
6/24/2011,734.928
5/13/2014,1049.985
9/27/2014,-1049.3406
11/29/2014,606.36
4/1/2012,140.16
11/15/2011,856.44
8/29/2014,1453.1238
8/6/2012,1989.54
12/26/2014,412.5394
7/4/2014,209.58
11/23/2014,327.5922
1/27/2013,946.68
5/25/2011,709.9365
10/1/2014,1420.02
11/8/2011,357.1575
1/30/2014,-2750.28
9/19/2014,444.483
12/5/2012,401.814
12/24/2011,38.196
2/7/2013,1072.44
12/29/2011,394.65
5/30/2013,700.98
4/30/2011,814.2
10/11/2011,886.68
8/26/2013,-221.571
9/24/2013,111.28
12/19/2014,126.4
9/21/2011,-509.997
7/4/2014,742.632
5/25/2011,1276.4871
6/7/2014,54.3
9/14/2014,106
4/17/2014,140.22
11/24/2012,-225.162
3/8/2014,383.706
7/28/2012,1112.13
11/9/2014,318.8598
11/24/2014,322.92
6/14/2011,390.6
9/19/2012,18.8592
11/25/2011,44.436
8/12/2012,1245.84
3/23/2013,890.46
1/4/2014,455.76
10/9/2012,413.28
8/7/2012,-11.16
10/2/2012,117.657
3/29/2014,428.121
11/21/2014,441.2884
12/1/2011,-1268.04
11/5/2011,621.792
11/27/2012,735.0336
12/6/2012,341.76
12/4/2013,89.46
12/24/2012,625.28
9/15/2012,357
11/7/2013,429.5772
11/18/2013,381.297
4/10/2013,374.9925
5/26/2012,-1331.652
11/23/2014,5039.9856
4/17/2014,1563.48
9/2/2014,556.9
5/18/2014,-348.516
12/15/2012,496.98
4/4/2011,446.04
2/8/2012,215.25
6/1/2013,344.9718
9/1/2012,-139.557
6/17/2011,285.12
8/31/2014,487.98
10/28/2011,89.46
3/23/2014,976.8
9/18/2014,349.86
8/28/2012,-870.3
8/19/2014,-337.806
8/4/2013,498.96
6/13/2013,-27.828
12/27/2014,714
12/18/2012,607.608
2/26/2012,845.7
10/13/2014,10.8189
4/23/2014,-2.1208
6/17/2013,2817.99
9/20/2013,-244.251
9/19/2014,178.56
12/3/2014,-35.091
9/1/2014,719.85
6/26/2014,123.75
10/25/2014,558.72
8/20/2011,261.9
9/14/2014,110.28
8/28/2012,1416.8
1/16/2014,711.84
11/15/2014,-483.3
6/13/2013,-63.6462
12/30/2012,2302.9671
9/25/2014,12.69
1/13/2011,49.5
10/10/2013,8399.976
7/30/2013,460.62
7/31/2012,-290.8752
5/4/2014,847.041
9/30/2011,511.52
6/28/2014,2316.51
4/8/2011,-50.976
8/9/2014,-76.5675
11/22/2013,527.984
2/16/2014,130.62
12/3/2014,-619.596
8/19/2012,69.36
9/2/2012,200.9546
8/8/2012,566.02
2/1/2014,764.3818
9/12/2011,-1359.992
8/11/2012,612.99
2/22/2013,-258.495
7/19/2012,393.24
11/23/2011,1228.1787
4/12/2014,-13.923
6/20/2012,-218.298
1/2/2014,114.453
7/1/2014,302.373
1/18/2012,-0.216
6/14/2012,1172.88
3/22/2014,366.282
11/17/2012,273.78
12/1/2013,160.3136
12/8/2012,449.991
5/19/2014,250.992
12/26/2014,1007.9832
12/24/2014,355.44
9/14/2013,-3009.435
1/13/2013,726.825
6/27/2014,287.919
7/16/2012,161.76
2/11/2014,182.688
6/5/2014,737.925
4/18/2014,-130.3863
